MmbCode,Cluster,AnniPresenza,GareMedie,EtaUltima,AnniDaChurn
BND165 ,4,1,1.0,20.0,7
BND166 ,4,1,2.0,26.0,7
BND170 ,1,1,3.0,55.0,1
BNF001 ,1,2,27.0,74.0,7
BNG001 ,1,1,3.0,91.0,1
BNG018 ,0,5,16.6,86.0,3
BNG045 ,1,3,5.0,74.0,4
BNG093 ,1,4,60.0,87.0,5
BNG103 ,1,3,6.333333333333333,91.0,4
BNG105 ,1,4,3.5,78.0,5
BNG107 ,4,1,1.0,18.0,8
BNG108 ,1,1,1.0,96.0,7
BNG110 ,1,1,3.0,71.0,7
BNH002 ,1,2,4.0,84.0,6
BNH007 ,4,1,1.0,19.0,8
BNH009 ,1,1,6.0,78.0,2
BNK008 ,4,3,3.3333333333333335,44.0,2
BNK012 ,4,1,1.0,18.0,6
BNL003 ,1,1,18.0,87.0,7
BNL011 ,3,5,31.6,64.0,2
BNL013 ,1,1,1.0,75.0,8
BNL016 ,1,2,16.0,94.0,6
BNL021 ,3,4,105.0,88.0,5
BNL023 ,0,7,46.857142857142854,78.0,1
BNL040 ,1,1,6.0,83.0,8
BNL048 ,1,4,39.5,90.0,5
BNL051 ,1,4,11.5,93.0,4
BNL068 ,1,2,8.0,69.0,7
BNL070 ,1,3,23.0,58.0,6
BNL073 ,1,4,5.75,75.0,5
BNL077 ,1,2,35.5,87.0,7
BNL079 ,1,1,2.0,66.0,8
BNL081 ,0,5,18.6,80.0,4
BNL082 ,1,2,1.5,69.0,7
BNL087 ,1,4,6.25,88.0,5
BNL097 ,1,2,9.5,56.0,2
BNL101 ,1,1,2.0,70.0,7
BNL106 ,1,4,29.5,81.0,5
BNL113 ,3,5,42.2,60.0,4
BNL114 ,1,3,13.0,96.0,6
BNL116 ,1,2,35.0,86.0,7
BNL118 ,1,1,1.0,90.0,7
BNL134 ,1,2,3.5,86.0,7
BNL138 ,1,5,12.6,89.0,4
BNL150 ,0,4,24.0,68.0,5
BNL177 ,1,1,1.0,75.0,7
BNL181 ,1,2,1.0,86.0,5
BNL186 ,1,4,47.0,77.0,5
BNL187 ,1,1,2.0,73.0,8
BNL197 ,1,4,9.5,87.0,5
BNL213 ,1,3,4.0,74.0,5
BNL217 ,0,5,31.0,78.0,1
BNL226 ,1,3,15.666666666666666,82.0,6
BNL229 ,0,4,1.5,81.0,1
BNL230 ,1,3,49.666666666666664,70.0,6
BNL234 ,1,2,14.0,88.0,6
BNL238 ,1,1,7.0,66.0,6
BNL245 ,1,2,17.0,89.0,7
BNL249 ,1,3,4.0,77.0,6
BNL260 ,1,4,7.75,82.0,5
BNL272 ,0,4,68.0,78.0,5
BNL302 ,1,3,2.6666666666666665,85.0,5
BNL306 ,1,1,5.0,79.0,8
BNL307 ,3,6,94.33333333333333,70.0,3
BNL339 ,1,2,8.5,87.0,7
BNL351 ,0,2,77.5,83.0,3
BNL360 ,0,6,20.333333333333332,73.0,1
BNL375 ,1,1,2.0,82.0,8
BNL384 ,1,1,9.0,80.0,8
BNL388 ,1,4,12.25,80.0,5
BNL393 ,1,1,3.0,77.0,5
BNL401 ,1,2,5.5,71.0,5
BNL403 ,0,3,6.333333333333333,86.0,1
BNL413 ,4,1,2.0,31.0,3
BNL414 ,1,2,1.5,84.0,7
BNL419 ,0,5,10.2,27.0,4
BNL422 ,1,3,4.333333333333333,69.0,5
BNL423 ,4,1,2.0,18.0,7
BNL424 ,4,1,3.0,26.0,7
BNL425 ,4,1,1.0,25.0,7
BNL426 ,4,1,1.0,17.0,7
BNL427 ,1,2,1.5,73.0,1
BNL445 ,1,1,1.0,60.0,4
