MmbCode,AnnoInizio,AnnoFine,AnniPresenza,EtaUltima,Sesso,GareMedie,GareTotali,GareStd,PuntiCampMedi,PuntiCampTot,PuntiTotMedi,PuntiTotTot,CatInizio,CatFine,CatMax,CatLabelInizio,CatLabelFine,EraScuolaBridge,EraAgonista,Regione,Circolo,TipoTessera,Churned,AnniDaChurn,Progressione,RatioChamp,Macroregione,EtaAttuale,Cluster
BCT060 ,2018,2020,3,75.0,F,32.333333333333336,97.0,24.33789911502908,0.0,0.0,252.66666666666666,758.0,0.0,0.0,0.0,NC,NC,True,False,LAZ,ARCADIA BENBRIDGE SSD A R.L.,Ordinario Sportivo,True,5,0.0,0.0,Centro,80.0,1
BCV011 ,2019,2019,1,64.0,M,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,NC,NC,True,False,PIE,BRIDGE TORINO,Scuola Bridge,True,6,0.0,0.0,Nord-Ovest,70.0,1
BCZ003 ,2017,2020,3,65.0,M,17.666666666666668,53.0,23.072349974229613,4096.666666666667,12290.0,9686.333333333334,29059.0,12.0,10.0,12.0,2P,2Q,False,True,UMB,CONVIVIUM BRIDGE PERUGIA ASD,Agonista,True,5,-2.0,0.42291810048176187,Centro,70.0,1
BCZ019 ,2018,2020,3,91.0,F,4.333333333333333,13.0,4.041451884327381,0.0,0.0,70.0,210.0,0.0,0.0,0.0,NC,NC,False,False,LOM,ASS.IT.ROTARIANI BR.,Ordinario Sportivo,True,5,0.0,0.0,Nord-Ovest,96.0,1
BCZ030 ,2017,2017,1,72.0,F,1.0,1.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,NC,NC,True,False,LOM,BRESCIA BRIDGE,Scuola Bridge,True,8,0.0,0.0,Nord-Ovest,80.0,1
BCZ031 ,2017,2019,3,71.0,F,26.0,78.0,23.065125189341593,0.0,0.0,61.666666666666664,185.0,0.0,5.0,5.0,NC,3F,True,False,SAR,BRIDGE ICHNOS,Ordinario Sportivo,True,6,5.0,0.0,Isole,77.0,1
BDC009 ,2017,2019,3,95.0,F,30.333333333333332,91.0,15.275252316519467,0.0,0.0,520.3333333333334,1561.0,3.0,5.0,5.0,4C,3F,False,False,LAZ,BRIDGE 3A S.S.D. A R.L.,Ordinario Sportivo,True,6,2.0,0.0,Centro,101.0,1
BDC025 ,2017,2020,4,78.0,M,12.5,50.0,10.14889156509222,0.0,0.0,273.75,1095.0,0.0,0.0,5.0,NC,NC,True,False,LAZ,TENNIS CLUB PARIOLI ASD,Ordinario Sportivo,True,5,0.0,0.0,Centro,83.0,1
BDC026 ,2019,2022,4,66.0,F,3.75,15.0,1.707825127659933,0.0,0.0,67.0,268.0,0.0,0.0,0.0,NC,NC,True,False,SAR,BRIDGE CAGLIARI,Scuola Bridge,True,3,0.0,0.0,Isole,69.0,1
BDD009 ,2017,2019,3,98.0,M,88.66666666666667,266.0,39.24708057083142,0.0,0.0,3291.6666666666665,9875.0,8.0,7.0,8.0,3P,3C,False,False,LIG,BRIDGE CLUB ALASSIO,Ordinario Amatoriale,True,6,-1.0,0.0,Nord-Ovest,104.0,1
BDL004 ,2017,2019,3,79.0,M,4.333333333333333,13.0,4.041451884327381,3940.0,11820.0,12539.333333333334,37618.0,9.0,7.0,9.0,2F,3C,False,False,EMI,"BR.MODENA ""C.LO PERROUX""",Ordinario Sportivo,True,6,-2.0,0.3142029293707967,Nord-Est,85.0,1
BDL011 ,2017,2021,5,85.0,F,42.2,211.0,34.419471233591025,0.0,0.0,2385.2,11926.0,6.0,0.0,6.0,3Q,NC,False,False,PIE,BRIDGE TORINO,Ordinario Amatoriale,True,4,-6.0,0.0,Nord-Ovest,89.0,1
BDL012 ,2017,2018,2,79.0,M,3.0,6.0,2.8284271247461903,0.0,0.0,117.0,234.0,1.0,1.0,1.0,4F,4F,False,False,LOM,QUELLI CHE IL BRIDGE ...,Ordinario Sportivo,True,7,0.0,0.0,Nord-Ovest,86.0,1
BDL025 ,2017,2018,2,77.0,M,8.5,17.0,7.7781745930520225,0.0,0.0,189.5,379.0,0.0,1.0,1.0,NC,4F,False,False,LOM,BRIDGE FIOCCHI ASD,Ordinario Sportivo,True,7,1.0,0.0,Nord-Ovest,84.0,1
BDN006 ,2017,2017,1,94.0,F,2.0,2.0,0.0,0.0,0.0,1379.0,1379.0,5.0,5.0,5.0,3F,3F,False,False,LOM,MOTO CLUB MILANO SSD A RL,Ordinario Sportivo,True,8,0.0,0.0,Nord-Ovest,102.0,1
BDN024 ,2017,2019,3,88.0,M,7.666666666666667,23.0,4.509249752822894,86.66666666666667,260.0,1654.3333333333333,4963.0,6.0,5.0,6.0,3Q,3F,False,False,MAR,BRIDGE FALCONARA,Ordinario Amatoriale,True,6,-1.0,0.052377115229653506,Centro,94.0,1
BDN025 ,2018,2018,1,69.0,M,6.0,6.0,0.0,50.0,50.0,166.0,166.0,0.0,0.0,0.0,NC,NC,False,False,VEN,POLESINE BRIDGE CLUB,Ordinario Sportivo,True,7,0.0,0.2994011976047904,Nord-Est,76.0,1
BDR001 ,2019,2019,1,87.0,M,3.0,3.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,NC,NC,False,False,EMI,BRIDGE CITTA' DEL TRICOLORE,Ordinario Amatoriale,True,6,0.0,0.0,Nord-Est,93.0,1
BDR009 ,2019,2020,2,69.0,M,1.5,3.0,0.7071067811865476,0.0,0.0,36.5,73.0,0.0,0.0,0.0,NC,NC,False,False,LOM,CIRCOLO BRIDGE 2000,Ordinario Sportivo,True,5,0.0,0.0,Nord-Ovest,74.0,1
BDR011 ,2017,2017,1,75.0,F,3.0,3.0,0.0,0.0,0.0,5614.0,5614.0,10.0,10.0,10.0,2Q,2Q,False,True,SIC,BRIDGE MESSINA,Agonista,True,8,0.0,0.0,Isole,83.0,1
BDR024 ,2019,2020,2,59.0,M,13.0,26.0,9.899494936611665,95.0,190.0,1166.0,2332.0,0.0,5.0,5.0,NC,3F,False,False,LOM,IL BRIDGE,Ordinario Sportivo,True,5,5.0,0.08144020574367766,Nord-Ovest,64.0,1
BDR031 ,2017,2020,4,76.0,M,36.25,145.0,21.234798484249072,0.0,0.0,1174.25,4697.0,4.0,0.0,5.0,4P,NC,False,False,SIC,BRIDGE ADDAURA ASD,Ordinario Sportivo,True,5,-4.0,0.0,Isole,81.0,1
BDT010 ,2017,2020,4,79.0,M,17.75,71.0,9.535023160258536,0.0,0.0,853.25,3413.0,4.0,0.0,5.0,4P,NC,False,False,LOM,CIRCOLO BRIDGE 2000,Ordinario Sportivo,True,5,-4.0,0.0,Nord-Ovest,84.0,1
BDT015 ,2018,2020,3,76.0,F,13.333333333333334,40.0,10.115993936995679,0.0,0.0,96.0,288.0,0.0,0.0,0.0,NC,NC,True,False,LOM,BRIDGE CUSANO MILANINO,Ordinario Amatoriale,True,5,0.0,0.0,Nord-Ovest,81.0,1
BFC009 ,2017,2017,1,90.0,M,3.0,3.0,0.0,0.0,0.0,248.0,248.0,2.0,2.0,2.0,4Q,4Q,False,False,LOM,BCM BR.CLUB MERATE,Ordinario Amatoriale,True,8,0.0,0.0,Nord-Ovest,98.0,1
BFC014 ,2018,2018,1,78.0,M,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,NC,False,False,LOM,PLANET BRIDGE,Ordinario Amatoriale,True,7,0.0,0.0,Nord-Ovest,85.0,1
BFL028 ,2017,2020,4,75.0,F,38.0,152.0,22.847319317591726,60.0,240.0,5396.5,21586.0,7.0,7.0,8.0,3C,3C,False,False,LOM,BERGAMASCA BRIDGE,Ordinario Sportivo,True,5,0.0,0.011117802381062676,Nord-Ovest,80.0,1
BFR003 ,2017,2018,2,93.0,M,38.5,77.0,13.435028842544403,120.0,240.0,15611.0,31222.0,13.0,12.0,13.0,1F,2P,False,False,PIE,C.PORTA SUSA A.S.D.,Ordinario Sportivo,True,7,-1.0,0.007686641258046953,Nord-Ovest,100.0,1
BFT004 ,2017,2020,4,72.0,F,4.0,16.0,0.816496580927726,0.0,0.0,475.75,1903.0,2.0,0.0,2.0,4Q,NC,False,False,LOM,BR.ASS.COMOCANTUHELIOS,Ordinario Sportivo,True,5,-2.0,0.0,Nord-Ovest,77.0,1
BFT005 ,2023,2023,1,67.0,F,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,NC,False,False,UMB,BRIDGE SPOLETO,Ordinario Amatoriale,True,2,0.0,0.0,Centro,69.0,1
BFT016 ,2022,2022,1,79.0,F,1.0,1.0,0.0,0.0,0.0,127.0,127.0,0.0,0.0,0.0,NC,NC,False,False,TOS,QUADRI LIVORNO,Ordinario Sportivo,True,3,0.0,0.0,Centro,82.0,1
BFY001 ,2017,2018,2,82.0,F,34.0,68.0,0.0,0.0,0.0,2889.5,5779.0,4.0,8.0,8.0,4P,3P,False,False,CAB,BRIDGE CATANZARO,Ordinario Sportivo,True,7,4.0,0.0,Sud,89.0,1
BGC006 ,2017,2017,1,72.0,M,4.0,4.0,0.0,0.0,0.0,8129.0,8129.0,5.0,5.0,5.0,3F,3F,False,False,PIE,ASS.BRIDGE TORINO,Ordinario Sportivo,True,8,0.0,0.0,Nord-Ovest,80.0,1
BGC033 ,2017,2019,3,76.0,F,37.0,111.0,24.331050121192877,146.66666666666666,440.0,2852.0,8556.0,8.0,6.0,8.0,3P,3Q,False,False,PIE,SOC.CANOTTIERI CAPRERA ASD,Ordinario Sportivo,True,6,-2.0,0.051419890148416504,Nord-Ovest,82.0,1
