MmbCode,Cluster,GareMedie,AnniPresenza,Eta,Sesso,AncoraAttivo
BLD083 ,Sociale,26.5,2,83.0,M,True
BLD089 ,Regolare Fedele,109.22222222222223,9,79.0,M,True
BLD102 ,Occasionale,1.75,4,84.0,F,False
BLD106 ,Agonista Attivo,64.6,5,70.0,M,True
BLD108 ,Occasionale,3.0,2,67.0,F,False
BLD118 ,Regolare Fedele,254.55555555555554,9,80.0,F,True
BLD121 ,Regolare Fedele,43.888888888888886,9,75.0,M,True
BLD128 ,Sociale,10.75,8,70.0,M,True
BLD132 ,Occasionale,1.0,1,23.0,F,False
BLF010 ,Occasionale,7.666666666666667,3,81.0,M,False
BLG001 ,Sociale,19.0,4,83.0,M,False
BLG002 ,Sociale,12.0,4,80.0,F,False
BLG007 ,Super Agonista,94.5,4,85.0,M,False
BLG008 ,Sociale,23.444444444444443,9,73.0,M,True
BLG012 ,Occasionale,9.8,5,81.0,M,False
BLG015 ,Regolare Fedele,43.875,8,87.0,M,False
BLG017 ,Occasionale,5.5,2,79.0,M,False
BLG018 ,Occasionale,2.0,2,85.0,M,False
BLG027 ,Occasionale,9.5,2,96.0,M,False
BLG028 ,Regolare Fedele,34.5,4,73.0,M,False
BLG036 ,Sociale,20.6,5,73.0,M,True
BLG040 ,Regolare Fedele,37.375,8,86.0,M,True
BLG043 ,Occasionale,1.0,1,65.0,F,False
BLG048 ,Occasionale,3.0,1,76.0,M,False
BLG049 ,Occasionale,9.666666666666666,3,91.0,F,False
