MmbCode,Eta,GareMedie,AnniPresenza,EngagementScore,RischioChurn,Regione
PLL046 ,65.0,36.333333333333336,9,45.82423126709327,ALTO,TOS
DNL022 ,89.0,45.77777777777778,9,45.83151195131793,ALTO,CAM
DDL020 ,71.0,38.55555555555556,9,45.83180166265742,ALTO,LOM
VNP002 ,68.0,11.222222222222221,9,45.83507767162172,ALTO,LAZ
SPN002 ,78.0,103.125,8,45.83597618960443,ALTO,SIC
RVC050 ,67.0,67.88888888888889,9,45.83623466962145,ALTO,PIE
STN207 ,71.0,56.888888888888886,9,45.83631046961193,ALTO,SAR
GNZ013 ,77.0,84.88888888888889,9,45.83652038315944,ALTO,CAM
NLR002 ,69.0,48.111111111111114,9,45.83708516247074,ALTO,LAZ
PPG005 ,81.0,97.22222222222223,9,45.839879815837186,ALTO,LOM
FRL028 ,77.0,27.25,8,45.842336339087325,ALTO,LOM
PRD021 ,78.0,132.66666666666666,9,45.84360473393828,ALTO,PIE
BLC055 ,74.0,87.44444444444444,9,45.84536735753619,ALTO,PIE
RBD020 ,70.0,74.16666666666667,6,45.85419165790789,ALTO,SIC
MCD063 ,61.0,33.111111111111114,9,45.854752688025194,ALTO,LOM
TZR003 ,72.0,4.0,1,45.856704765033996,ALTO,SAR
TZT005 ,69.0,4.0,1,45.856704765033996,ALTO,SAR
LBR045 ,78.0,76.22222222222223,9,45.86007944875928,ALTO,UMB
GML092 ,65.0,69.44444444444444,9,45.86523297805427,ALTO,LAZ
LCC085 ,79.0,110.11111111111111,9,45.86549116182783,ALTO,LAZ
CPP020 ,78.0,107.55555555555556,9,45.86947094239351,ALTO,LOM
FNV001 ,62.0,125.25,8,45.86971527852809,ALTO,TRT
DBR013 ,63.0,60.888888888888886,9,45.870426377213604,ALTO,TOS
TRR001 ,75.0,20.0,9,45.87095106495343,ALTO,SAR
DRR084 ,74.0,44.77777777777778,9,45.87818225191117,ALTO,LAZ
CRR571 ,62.0,48.666666666666664,9,45.881360937892666,ALTO,PUG
GVC007 ,80.0,55.333333333333336,9,45.88461882156838,ALTO,TOS
BRR128 ,47.0,32.42857142857143,7,45.88786382668628,ALTO,EMI
RSM005 ,71.0,88.125,8,45.88915638479035,ALTO,LAZ
CRL062 ,80.0,89.11111111111111,9,45.893941146536505,ALTO,SIC
CCL023 ,50.0,67.66666666666667,9,45.89833004859613,ALTO,LAZ
MRD047 ,70.0,33.125,8,45.898719566182464,ALTO,TOS
CRC408 ,75.0,87.33333333333333,9,45.900846397795284,ALTO,SAR
GVR036 ,76.0,71.66666666666667,9,45.90101011846782,ALTO,MAR
DPL066 ,66.0,105.0,9,45.90126529967971,ALTO,CAB
TTN017 ,77.0,77.55555555555556,9,45.90606787264174,ALTO,FRI
MDN030 ,63.0,13.555555555555555,9,45.90875872482524,ALTO,LAZ
CMR001 ,68.0,75.11111111111111,9,45.913025884150045,ALTO,LOM
PPL028 ,81.0,95.0,9,45.91367066073319,ALTO,MAR
SRN200 ,68.0,36.888888888888886,9,45.91743869209563,ALTO,SAR
CSR029 ,76.0,22.22222222222222,9,45.92307753878669,ALTO,UMB
DMR193 ,61.0,55.5,8,45.923547642047666,ALTO,TOS
SLN002 ,75.0,77.88888888888889,9,45.92650396074694,ALTO,LOM
CSR062 ,56.0,46.44444444444444,9,45.92802170983957,ALTO,SIC
CZL038 ,73.0,51.77777777777778,9,45.93101378283631,ALTO,CAB
DSC063 ,68.0,78.33333333333333,9,45.93141693686888,ALTO,PUG
FRL016 ,79.0,54.111111111111114,9,45.9321282165731,ALTO,EMI
BRX221 ,75.0,17.0,1,45.9334750848579,ALTO,EMI
SPD057 ,75.0,82.33333333333333,9,45.9371163250399,ALTO,PIE
MLN257 ,61.0,46.888888888888886,9,45.93961584830996,ALTO,LOM
MCT065 ,70.0,3.0,1,45.9441158753628,ALTO,LAZ
CCL231 ,68.0,49.77777777777778,9,45.94978608043949,ALTO,EMI
BRN976 ,79.0,69.22222222222223,9,45.950772285091126,ALTO,TOS
LNN098 ,84.0,107.55555555555556,9,45.95083886718851,ALTO,PIE
TRL221 ,71.0,37.22222222222222,9,45.95190278956138,ALTO,SAR
PNG003 ,87.0,53.888888888888886,9,45.96465173899693,ALTO,TRT
GHL068 ,59.0,59.0,7,45.968830549199,ALTO,PIE
PRN329 ,74.0,42.44444444444444,9,45.97006719990373,ALTO,LAZ
BLC034 ,36.0,53.333333333333336,9,45.973729255509966,ALTO,PIE
GHG006 ,74.0,14.5,8,45.977932573786745,ALTO,EMI
PZL076 ,65.0,65.66666666666667,9,45.97911736958379,ALTO,LIG
TRN006 ,78.0,26.88888888888889,9,45.97957526699041,ALTO,TRT
LMS022 ,57.0,42.888888888888886,9,45.98071982747406,ALTO,LAZ
DNN264 ,44.0,102.22222222222223,9,45.9808340595322,ALTO,PIE
SST003 ,74.0,63.0,8,45.98136783212294,ALTO,EMI
MTH003 ,80.0,60.22222222222222,9,45.98660580496796,ALTO,LIG
FGZ001 ,79.0,75.77777777777777,9,45.98986961613198,ALTO,PUG
TSN126 ,74.0,102.55555555555556,9,45.99527236708096,ALTO,EMI
TRG028 ,86.0,17.0,9,45.99666281228227,ALTO,TOS
KNG001 ,59.0,42.0,2,46.00026749125817,ALTO,LOM
TRG048 ,93.0,113.0,9,46.005278493628886,ALTO,VEN
CNR089 ,77.0,113.66666666666667,9,46.008686068158525,ALTO,LAZ
BBR004 ,71.0,65.88888888888889,9,46.010803760021545,ALTO,FRI
